id,label,type,module_id,connected_component_id,is_in_largest_component,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient
DAG1,DAG1,Messenger RNA,0.0,0,1,0.0002485412800856,0.4170022371364653,0.0131578947368421,1.0
PRPF38A,PRPF38A,Messenger RNA,0.0,0,1,0.0006616786167329,0.4557457212713936,0.0197368421052631,1.0
PAK4,PAK4,Messenger RNA,0.0,0,1,0.0015853443797442,0.4266097039975587,0.0263157894736842,0.5
ACO1,ACO1,Messenger RNA,0.0,0,1,0.0,0.2572690467427309,0.006578947368421,
NOVA2,NOVA2,Messenger RNA,0.0,0,1,0.0007545733258092,0.281968535699879,0.0197368421052631,0.6666666666666666
IL20RA,IL20RA,Messenger RNA,0.0,0,1,0.0,0.4010902309568211,0.006578947368421,
DMRT2,DMRT2,Messenger RNA,0.0,0,1,0.0,0.2799078986885574,0.006578947368421,
ZNF740,ZNF740,Messenger RNA,0.0,0,1,0.0007742743144973,0.4345663661796705,0.0197368421052631,1.0
AK2,AK2,Messenger RNA,0.0,0,1,0.0,0.4137931034482758,0.006578947368421,
STRBP,STRBP,Messenger RNA,14.0,0,1,0.001019207154394,0.4634510193933366,0.0263157894736842,1.0
PLXNA4,PLXNA4,Messenger RNA,0.0,0,1,0.0005604640985101,0.2601656276170094,0.0263157894736842,0.8333333333333334
PITPNA,PITPNA,Messenger RNA,0.0,0,1,0.0016468222130246,0.4602469135802469,0.0328947368421052,0.9
